concurrency,requests,successes,failures,throughput_per_second,internal_mean_ms,internal_median_ms,internal_p95_ms,internal_p99_ms,client_mean_ms,client_p95_ms
1,1000,1000,0,787.1110818519184,0.7364156789999999,0.6742915,1.1102006499999997,1.5052963300000002,1.255785128,1.91766425
5,1000,1000,0,1234.118374378502,2.567926161,2.2346455,5.069969399999999,6.663791009999999,3.9631185569999996,7.4199235499999965
10,1000,1000,0,941.6957699392334,8.440353416,6.568875,20.15077915,32.53936032999997,10.511327172,22.729820500000002
25,1000,1000,0,965.8028134187507,20.130053181,15.584499999999998,50.05669439999991,78.45816926,25.505833965999997,61.69406044999999
50,1000,1000,0,913.3789117021763,48.115499807,37.520854,125.32711074999999,193.04918232999995,53.681303017,136.88473689999995
100,1000,1000,0,326.80983664848895,66.534741188,39.037062500000005,230.2772863999999,344.24891925000003,279.497684148,1093.8629584
