concurrency,requests,successes,failures,throughput_per_second,internal_mean_ms,internal_median_ms,internal_p95_ms,internal_p99_ms,client_mean_ms,client_p95_ms
1,100,100,0,229.45649656151753,2.8171479699999997,2.7109794999999997,4.276941699999999,5.141828010000004,4.337601230000001,6.224491349999999
5,500,500,0,457.768229021423,7.119855650000001,6.109583499999999,12.799124349999998,16.056300249999993,10.864156097999999,18.22218894999999
10,500,500,0,415.0495874725444,15.007432834,13.179,26.825222899999996,32.42230332999999,23.904221804000002,37.60340269999998
25,500,500,0,341.25371838582896,44.775942367999995,40.35075,91.1141777,141.46562199999997,72.702503586,125.40691219999997
50,500,500,0,426.9182332106065,70.144000392,64.875354,100.5156167,112.97824182999994,114.50125559,194.4895559499999
