metric,trials,samples_per_trial,mean_ms,mean_ci95_ms,p95_ms,p95_ci95_ms
e2e_ns,5,1000,2.765083239,0.028290991417934886,3.3504661899999997,0.12923138349175892
authorization_path_ns,5,1000,1.3394604028,0.01486316948506427,1.6681730399999997,0.07651687666252205
sac_total_processing_ns,5,1000,0.7749482308,0.008775267597842001,0.9675464699999999,0.03528578249345416
sac_compute_excluding_gb_roundtrip_ns,5,1000,0.0865683128,0.0012437574925024631,0.11306984999999999,0.004522703190747244
gateway_crypto_core_ns,5,1000,0.2434190924,0.004219587472176936,0.29445005999999996,0.007964601314110574
authorization_verification_combined_ns,5,1000,0.23097074580000002,0.005755996912580046,0.27101538999999997,0.008738464108863031
gateway_crypto_full_ns,5,1000,0.4743898382,0.009345415360623572,0.55913182,0.019458175979957762
gateway_b_handshake_roundtrip_ns,5,1000,0.6514401094,0.009539238773000351,0.76885522,0.024252816686134628
ledger_enqueue_ns,5,1000,0.5660782268,0.009323991788907858,0.70111249,0.03585234796007305
