one_way_delay_ms,trials,requests_per_trial,total_successes,total_failures,e2e_mean_ms,e2e_mean_ci95_ms,e2e_p95_ms,e2e_p95_ci95_ms
5,5,1000,5000,0,64.5309265914,4.399642472295209,72.76659959,3.8153587509299007
10,5,1000,5000,0,120.06820960499999,2.2944818327791294,133.54389381,0.6142594608258553
25,5,1000,5000,0,258.36759619099996,0.5138811598215663,277.6305693,0.39139511329115084
50,5,1000,5000,0,451.2025927584,4.4596788965922185,469.21235716,6.5979914213237105
